confidence,uniqueness,exposure,risk
48.85534808705587,26.15817090802065,63.23673711075681,46.36061164045559
58.989228041861864,13.812022983579041,35.379040786084495,38.35301034764381
29.382322879114575,45.468778138662515,58.522190676626614,42.95021979623257
95.20451651213071,59.15878377905577,10.525817119602653,58.98718687444981
38.337048390591676,48.594530914513676,86.70139584445067,55.92359738392598
87.11829198767717,80.66411672807712,18.266782054921617,64.5265864299705
62.53146273885436,27.037811066329333,13.764973352161592,37.253420421089025
2.534231692136202,52.481558293007744,38.96261374347533,28.4469442877994
32.41263396380899,52.56362845827989,64.86392928344122,48.19332090803994
7.356773602701194,72.16542913061618,77.4366077466879,47.8233205042717
30.716088350255422,43.695100218491476,19.208578950824105,31.157539090896847
78.85989734064056,1.108377525036397,98.73036759183118,61.495582471316496
50.70836837772404,32.53545854594858,67.2551095235085,50.22051777192674
31.49473596591751,8.918969210951111,92.63301762085862,43.06349043590993
64.20147686018228,74.9118489535266,21.72711571195861,54.67228014371848
56.240450525065064,63.641335321874074,28.519659369311647,50.14447861738174
44.78719526256687,60.758960111369554,67.62011695173526,56.428601223958196
83.47603965574541,88.37188345018629,98.82559404784442,89.54965911170737
80.84214137007486,66.53282483769584,16.650314002995113,57.291798200237224
31.56209194980393,77.81431756445846,79.12098715523392,59.70542819582929
39.40571195894672,16.747171380962822,48.97354981820578,35.47850114332927
79.74040538254327,70.4138456881155,64.90992699512475,72.49329395798938
79.33617034313919,53.85594936783109,1.5937583616877693,48.36938045611133
81.22989623363179,58.295486002298105,93.55460858073961,78.04698686836403
38.502922884852964,98.7203072758872,39.480969027550614,56.86155204497253
78.65316711787304,49.527534401368754,60.29237109038157,64.40723849467432
28.27570628330811,35.78977417279561,70.30238399198532,43.137929962757525
56.91946546128953,85.66160482130314,99.28512657358704,78.25180560298287
97.1070674518958,5.875827958756319,45.13806620501223,54.14699522988889
56.88903626945471,68.62749261338506,70.82597575103267,64.5916550171072
49.19912428399016,13.179374601030048,65.65952989114919,43.33132106124984
40.73706540398353,43.584559497100074,60.983083707956546,47.6651191231104
25.83230285995459,55.76823139552641,47.07019293581462,41.18444844338414
73.06782114979589,30.68214448469746,39.53911353894605,50.29350586701141
47.2598137732637,30.50163054404923,11.242156118282498,31.427061508004996
90.15146665182041,99.31836494087484,13.24259605323066,69.82887495895982
39.3278293822523,88.4695494946918,18.642320748752518,47.86469282593421
19.88962667123433,19.034009810336492,24.961121116760697,21.15438994662289
95.28964541439231,98.42822259028823,47.4307715024189,81.87355639356906
99.84552635727307,93.3512655815644,81.64115756848555,92.43593748792422
81.04584070062599,52.736609842109125,77.92418656124252,71.61657520125588
90.9706991248466,65.63039995365483,7.376252950990613,58.29027552133228
31.40305101217966,39.6542686351052,36.82566352224826,35.505200052077896
84.89198291658808,59.50083158031714,19.14130527764135,57.549434224022775
36.01369319188883,90.65642260090175,90.9381027138073,68.88383487116825
12.930661107931197,27.0484058957451,99.65766288833503,43.184085078396514
13.385755251584863,78.82866245953099,25.647224800964718,36.69706827878265
61.16264197777041,65.08643639920508,89.38087030972645,70.80524880378762
81.48371378615236,50.746937378802556,83.70317533284559,72.92851932795539
36.0327932898772,54.21783809536649,29.69714201202801,39.587611348169226
83.68577001257157,91.07039671304207,50.531226529015996,75.95479497764605
45.97099412192445,90.30749864060778,67.74267716862084,65.80345039153836
86.99338877348481,7.655493122797264,71.67991159532812,58.59797692483154
78.97962632691076,76.43422367723429,60.97599561315328,72.81491631788057
99.2110716914628,43.37142134514872,91.07186575185129,80.01741480568514
0.29517513497572256,19.158270935319667,94.147999827184,34.109951282741385
49.69074508798818,92.96655936525315,58.061532021083664,65.18472545109631
88.95157752882591,38.51679817763185,75.58872946978057,69.81228930575409
34.87546752527134,83.01793620148096,90.49190337861629,66.00313888413771
39.77519001521972,60.951050652707984,11.996609547818126,37.79437406624572
77.98831389144934,49.09276304364566,35.072109665211684,56.44478736923694
4.592105167823036,34.523295914026356,42.04465450774113,24.807227193659457
48.293446651796,12.169782158241393,45.27927373673678,36.55209542921186
97.78514147353032,88.81633719559989,90.35013908941873,92.8639994749177
28.639155458610322,93.88883650275037,95.76215384079242,68.35095928650696
37.63818436507934,64.18245612239001,17.742103185405057,39.63264153837026
87.28019829177043,94.38166051584687,78.49087549463935,86.77384011985404
82.09976876073809,0.23246252857911376,29.763779645541945,41.83878015653155
39.86757824275914,88.63474634291818,81.5740616533216,67.0096736959756
52.84857861989446,90.63604963928286,36.292085479310146,59.21787198353569
73.05950260386287,93.75449370401286,51.94293694941132,72.9330302375724
71.06681904689819,89.89266916302671,61.96523059504098,73.98409754617958
95.0599051830557,71.02002078647234,68.93540203872193,80.01058892078056
50.38031588433881,18.583030181633365,25.298285160576416,33.31652095639846
77.99553420162741,21.268154056402633,46.905801132771494,51.650400237403204
